Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Random Forest,0.9943775100401606,0.9965686274509804,0.9884835679111514,0.9924236948197878,18.61681699752808
SVM,0.9927710843373494,0.9937535942683244,0.9879200960046848,0.9907480408108724,27.80065512657165
K-Nearest Neighbors,0.9991967871485944,0.9988095238095238,0.9993686868686869,0.9990872856629928,0.005467414855957
Naive Bayes,0.5269076305220883,0.605298744842248,0.4511211764481428,0.3767582670289972,0.0848016738891601
Decision Tree,0.927710843373494,0.9063259564054944,0.912975042097732,0.909548875553269,9.89306926727295
Logistic Regression,0.9815261044176706,0.976779083319781,0.9719635167685914,0.974160687355124,15.350486278533936
Gradient Boosting,0.9847389558232932,0.985303609252666,0.9707949161224227,0.9775319578099898,608.5666241645813
AdaBoost,0.8530120481927711,0.8199241671623796,0.7892311493846731,0.8021524743096037,61.31322288513184
Extra Trees,0.9983935742971888,0.999009900990099,0.9963503649635036,0.9976657329598506,4.636506080627441
Hard Voting,0.993574297188755,0.9957967637796052,0.9860301051234588,0.9907342361395526,
Soft Voting,0.9959839357429718,0.9973978904903144,0.9908759124087592,0.9940478023294202,
Stacking,1.0,1.0,1.0,1.0,
